# format:aut|changed|aut_name|org_id|source
1|20120224|LVLT-1|LVLT-ARIN|ARIN
2|20120621|UDEL-DCN|UNIVER-19-ARIN|ARIN
3|20100927|MIT-GATEWAYS|MIT-2-ARIN|ARIN
4|20120313|ISI-AS|USC-32-ARIN|ARIN
5|19950808|SYMBOLICS|SYMBOL-16-ARIN|ARIN
6|20120402|BULL-HN|BHIS-Z-ARIN|ARIN
7|20000101||@aut-7-RIPE|RIPE
8|19971110|RICE-AS|RICEUN-ARIN|ARIN
9|20120402|CMU-ROUTER|CARNEG-Z-ARIN|ARIN
10|20000418|CSNET-EXT-AS|CCICC-ARIN|ARIN
11|20140915|HARVARD|HARVAR-ARIN|ARIN
12|20111010|NYU-DOMAIN|NYU-ARIN|ARIN
13|20110802|DNIC-AS-00013|HEADQU-3-ARIN|ARIN
14|20100628|COLUMBIA-GW|COLUMB-ARIN|ARIN
15|19910627|NET-DYNAMICS-EXP|DYNAMI-109-ARIN|ARIN
16|20100114|LBL|LBNL-ARIN|ARIN
17|20071030|PURDUE|PURDUE-ARIN|ARIN
18|20030709|UTEXAS|UTAA-ARIN|ARIN
19|20140424|LEIDOS-AS|LEIDO-ARIN|ARIN
20|20120402|UR|UNIVER-40-Z-ARIN|ARIN
21|20010503|RAND|THERAN-ARIN|ARIN
22|20110705|DNIC-AS-00022|NNICN-1-ARIN|ARIN
23|20030226|NISN-SIP-AS|NASA-ARIN|ARIN
24|20090623|AMES-NAS-GW|NASA-ARIN|ARIN
25|20080409|UCB|UCAB-ARIN|ARIN
26|20040419|CORNELL|CORNEL-ARIN|ARIN
27|20140218|UMDNET|UNIVER-262-Z-ARIN|ARIN
28|20000101|DFVLR-SYS|@aut-28-RIPE|RIPE
29|19910110|YALE-AS|YALEUN-ARIN|ARIN
30|19910110|SRI-AICNET|SRIINT-11-ARIN|ARIN
31|20030807|CIT|CIT-4-ARIN|ARIN
32|20081013|STANFORD|STANFO-ARIN|ARIN
33|20120224|HP-DIGITAL-33|HP-ARIN|ARIN
34|19941201|UDELNET|UNIVER-19-ARIN|ARIN
35|20120402|MITRE-AS-1|THEMIT-1-Z-ARIN|ARIN
36|20110413|EGP-TESTOR|SRIINT-ARIN|ARIN
37|20110705|DNIC-AS-00037|NNICN-1-ARIN|ARIN
