# format:org_id|changed|org_name|country|source
01CO-ARIN|20120328|O1.com|US|ARIN
111S-ARIN|20141114|One Eleven Internet Services|US|ARIN
1800CO-2-ARIN|20141119|1-800 Contacts, Inc.|US|ARIN
1800FL-ARIN|20130212|1-800-Flowers.com, Inc.|US|ARIN
1800H-ARIN|20140723|1-800-HOSTING, Inc.|US|ARIN
1881CS-ARIN|20121010|1881CS/XPC|US|ARIN
18VO-ARIN|20121010|1 800 Video On, Inc.|US|ARIN
19EET-ARIN|20130408|19thfloor.net|CA|ARIN
1FBU-ARIN|20120815|1st Financial Bank USA|US|ARIN
1GPUC-ARIN|20080303|1798 Global Partners (USA), Corp.|US|ARIN
1STP-ARIN|20081004|FIRST STEP INTERNET, LLC|US|ARIN
1UWEB-ARIN|20110924|1U Web, INC.|US|ARIN
280INC-ARIN|20121010|280, Inc.|US|ARIN
2CHEC-ARIN|20130517|2checkout.com|US|ARIN
2CO-ARIN|20140904|21ST CENTURY ONCOLOGY, INC.|US|ARIN
2GPL-ARIN|20110924|2 Geeks and a Pipe, LLC|US|ARIN
2HF-1-ARIN|20140425|24 Hour Fitness USA, Inc.|US|ARIN
2ICS-ARIN|20110924|2iC Systems Inc.|CA|ARIN
2N1LL-ARIN|20130516|2N+1|US|ARIN
2RM-ARIN|20140522|24/7 Real Media, Inc.|US|ARIN
2SS-3-ARIN|20110812|2nd Story Software, Inc.|US|ARIN
2WIRE-1-ARIN|20130423|2Wire Inc.|US|ARIN
360NE-1-ARIN|20140723|360Networks (USA) Inc.|US|ARIN
383IN-1-ARIN|20110924|383inc|US|ARIN
3CC-2-ARIN|20121010|3 Com Corp.|US|ARIN
3CL-3-ARIN|20120213|360 Communications, LLC|US|ARIN
3COMCO-ARIN|20110924|3Com Corporation|US|ARIN
3ECOMP-ARIN|20140417|3E COMPANY ENVIRONMENTAL, ECOLOGICAL AND ENGINEERING|US|ARIN
3FORM-ARIN|20110924|3form Inc.|US|ARIN
3IN-ARIN|20140109|3Men@Work Integrated Networks, Inc.|CA|ARIN
3MCOMP-Z-ARIN|20110924|3M Company|US|ARIN
3UTEL-ARIN|20110924|Telecom North America Inc.|US|ARIN
3ZNET-ARIN|20090416|3z.net|US|ARIN
406PA-ARIN|20110924|406 Partners|US|ARIN
4BISC-ARIN|20110810|4BIS.COM, Inc.|US|ARIN
4DVIS-ARIN|20110822|4DVISION LLC|US|ARIN
4IMPRI-ARIN|20110924|4imprint|US|ARIN
4INFO-ARIN|20121017|4INFO, Inc.|US|ARIN
4ISAIA-ARIN|20121010|48 Intelligence Squadron/SC, Air Intelligence Agency|US|ARIN
4LC-ARIN|20110924|4 Less Communications, Inc.|US|ARIN
4OVER-1-ARIN|20110924|4 Over, Inc.|US|ARIN
4RUL-ARIN|20110924|4Life Research USA, LLC|US|ARIN
4RWEB-ARIN|20100927|4RWEB, Inc|US|ARIN
4WEBC-ARIN|20100719|4WEB.CA|CA|ARIN
5DL-ARIN|20121227|5Nines Data, LLC|US|ARIN
5LINX-ARIN|20140811|Globalinx|US|ARIN
702COM-ARIN|20130226|702 Communications|US|ARIN
7CG-3-ARIN|20121010|7th Communications Group/GNE|US|ARIN
7CS-3-ARIN|20121010|707 California Street|US|ARIN
7ESG-ARIN|20110817|754th Electronic Systems Group|US|ARIN
7THLEV-ARIN|20121010|7th Level, Inc.|US|ARIN
84LUM-ARIN|20110924|84 LUMBER COMPANY|US|ARIN
8E6TE-ARIN|20110924|M86 Security|US|ARIN
8FHL-ARIN|20110924|85 Fifth Holdings, LLC.|US|ARIN
8X8INC-ARIN|20110924|8x8, Inc.|US|ARIN
9NS-ARIN|20121010|99MAIN NETWORK SERVICES|US|ARIN
@aut-10000-JPNIC|20031225|Nagasaki Cable Media Inc.|JP|JPNIC
@aut-10001-JPNIC|20081027|Mics Network Corporation|JP|JPNIC
@aut-10002-JPNIC|20140620|IGAUENO CABLE TELEVISION CO.,LTD|JP|JPNIC
@aut-10003-JPNIC|20060502|Ogaki Cable Television Co.,Inc.|JP|JPNIC
@aut-10004-JPNIC|20050309|JIN Office Service Inc.|JP|JPNIC
@aut-10006-JPNIC|20120605|SECOM Trust Systems Co.,Ltd.|JP|JPNIC
@aut-10007-JPNIC|20031015|IP Revolution,Inc.|JP|JPNIC
@aut-10009-JPNIC|20130806|Rworks, Inc.|JP|JPNIC
@aut-10010-JPNIC|20120924|TOKAI Communications Corporation|JP|JPNIC
@aut-10011-JPNIC|20050309|advanscope.inc|JP|JPNIC
@aut-10013-JPNIC|20050916|FreeBit Co.,Ltd.|JP|JPNIC
@aut-10014-JPNIC|20101206|Nihon University|JP|JPNIC
@aut-10015-JPNIC|20140603|Cyber Wave Japan Co., Ltd.|JP|JPNIC
@aut-10016-JPNIC|20060609|Minaminihon Information Processing Center Co Ltd|JP|JPNIC
@aut-10019-JPNIC|20050902|Matsusaka Cable-TV Station Inc.|JP|JPNIC
@aut-10021-JPNIC|20110805|KVH Co.,Ltd|JP|JPNIC
@aut-10022-APNIC|20000428|Internet access for Datacom Systems Auckland|NZ|APNIC
@aut-10023-APNIC|20120727|Vixtel Pty Ltd|AU|APNIC
@aut-10024-APNIC|20000608|LGA International|SG|APNIC
@aut-10025-APNIC|20111007|The IUSN Foundation|NU|APNIC
@aut-10026-APNIC|20110224|Pacnet Global Ltd|AP|APNIC
@aut-10028-APNIC|20000614|Information System Department|TH|APNIC
@aut-10029-APNIC|20130103|CITYCOM NETWORKS PVT LTD|IN|APNIC
@aut-10030-APNIC|20090727|Celcom Internet Service Provider|MY|APNIC
@aut-10031-APNIC|20140304|WEBSATMEDIA PTE LTD, Satellite Over IP, Singapore|SG|APNIC
@aut-10032-APNIC|20120604|Hutchison Global Crossing Ltd.|HK|APNIC
@aut-10034-APNIC|20000616|YMIR Entertainment|KR|APNIC
@aut-10035-APNIC|20130830|Hyundai Department Store Co., Ltd.|KR|APNIC
@aut-10036-APNIC|20090910|C&M Communication Co.,Ltd.|KR|APNIC
@aut-10037-APNIC|20051223|Jeil CATV Co.,Ltd|KR|APNIC
@aut-10038-APNIC|20130912|NHN Entertainment|KR|APNIC
@aut-10039-APNIC|20131216|Korea Health Industry Development Institute|KR|APNIC
@aut-10040-APNIC|20030529|NICE Information & Telecommunication, Inc|KR|APNIC
